State,Motivated,N_A,School,Working,Recreation,Chores,Systems,Planning,Absorb
2020-12-13,0,0,0,0,0,0.7611111116666667,0,0.059444445,0
2020-12-14,0,0,0,1.3427777783333334,0,0,0,0.27277777833333333,0
2020-12-15,0,0,0,12.910555556666667,0,0,0,0,0
2020-12-16,0,3.8502777783333335,0,7.828611111666667,0,0.7563888883333333,0,0,0
2020-12-17,0,0,0,3.8691666666666666,0,0.24388888833333333,0,0,0
2020-12-19,0,0,0,0,0,0.35333333333333333,0,0,0
2020-12-20,0,0.9116666666666667,0,0,0,0,0,0,0
2020-12-21,0,0.02666666666666667,0,0,0,0.6755555550000001,2.7777833333333333e-4,0,0
2020-12-22,0,0,0,0,0,7.005833333333333,0,0,0
2020-12-23,0,0,0,0,0,2.3497222216666667,0,0,0
2020-12-25,0,1.0627777783333334,0,0.11388888833333333,0,0,0,0,0
2020-12-30,0,0,0,0,0,0.5022222216666666,0,0,0
